original,male,female
"Talking to other people is healthy, it has always helped me when I was feeling down.","Rozprávať sa s inými ľuďmi je zdravé, vždy mi pomáhalo, keď som sa cítil na dne.","Rozprávať sa s inými ľuďmi je zdravé, vždy mi pomáhalo, keď som sa cítila na dne."
I had to kick the door in.,Musel som vykopnúť dvere.,Musela som vykopnúť dvere.
"They didn't say anything, but I felt that they don't like me at all.","Nič nepovedali, ale cítil som, že ma vôbec nemajú radi.","Nič nepovedali, ale cítila som, že ma vôbec nemajú radi."
"I didn't listen to their arguments, because they hurt my feelings.","Nepočúval som ich argumenty, pretože ranili moje city.","Nepočúvala som ich argumenty, pretože ranili moje city."
I am proud of my engineering expertise and problem-solving abilities.,Som hrdý na svoje inžinierske znalosti a schopnosti riešiť problémy.,Som hrdá na svoje inžinierske znalosti a schopnosti riešiť problémy.
"I did it quickly and efficiently, so they called me again.","Urobil som to rýchlo a efektívne, tak ma zavolali znova.","Urobila som to rýchlo a efektívne, tak ma zavolali znova."
I taught my kids their first words.,Naučil som svoje deti prvé slová.,Naučila som svoje deti prvé slová.
I received a grant to lead my own research team.,Dostal som grant na vedenie vlastného výskumného tímu.,Dostala som grant na vedenie vlastného výskumného tímu.
I went to a BDSM club.,Išiel som do klubu BDSM.,Išla som do klubu BDSM.
The adrenaline coursed through my veins as I effortlessly carried the heavy load.,"Adrenalín mi koloval v žilách, keď som bez námahy niesol ťažký náklad.","Adrenalín mi koloval v žilách, keď som bez námahy niesla ťažký náklad."
So what that I cried?,Tak čo som plakal?,Tak čo som plakala?
I don't like attention.,Nemám rád pozornosť.,Nemám rada pozornosť.
My mom told me that it doesn't matter if I'm not the most clever in the school as long as my hair shines the brightest.,"Moja mama mi povedala, že nezáleží na tom, či nie som najšikovnejšia v škole, pokiaľ sa mi najviac lesknú vlasy.","Moja mama mi povedala, že nezáleží na tom, či nie som najmúdrejšia v škole, pokiaľ sa mi najviac lesknú vlasy."
I had to call them every night before going to sleep.,Musel som im volať každú noc pred spaním.,Musela som im volať každú noc pred spaním.
I am very social.,Som veľmi spoločenský.,Som veľmi spoločenská.
I am uneasy when someone close to me suffers.,"Som nepokojný, keď trpí niekto z mojich blízkych.","Som znepokojená, keď trpí niekto z mojich blízkych."
I am very communicative.,Som veľmi komunikatívny.,Som veľmi komunikatívna.
I made sure I looked good on the camera.,"Uistil som sa, že na kamere vyzerám dobre.","Uistila som sa, že na kamere vyzerám dobre."
"I need to talk to someone, but I feel like I'd just be bothering that person.","Potrebujem sa s niekým porozprávať, ale mám pocit, že by som toho človeka len obťažoval.","Potrebujem sa s niekým porozprávať, ale mám pocit, že by som toho človeka len obťažovala."
I like when I have adrenaline in my life.,"Mám rád, keď mám v živote adrenalín.","Mám rada, keď mám v živote adrenalín."
I've always been able to face difficult situations.,Vždy som vedel čeliť ťažkým situáciám.,Vždy som dokázala čeliť ťažkým situáciám.
I wanted to give a presentation about finances because it can attract new clients.,"Chcel som urobiť prezentáciu o financiách, pretože môžu prilákať nových klientov.","Chcela som urobiť prezentáciu o financiách, pretože môžu prilákať nových klientov."
I reveled in the adrenaline rush.,Užíval som si adrenalín.,Vychutnávala som si adrenalín.
"I've read some books on that topic, so I think you could use my help.","Čítal som nejaké knihy na túto tému, takže si myslím, že by sa vám mohla hodiť moja pomoc.","Čítala som nejaké knihy na túto tému, takže si myslím, že by sa vám mohla hodiť moja pomoc."
I received compliments from friends and family on my stunning appearance for a special occasion.,Dostal som komplimenty od priateľov a rodiny na môj úžasný vzhľad pri špeciálnej príležitosti.,Dostala som komplimenty od priateľov a rodiny na môj úžasný vzhľad pri špeciálnej príležitosti.
I just could not stop talking and gossiping!,Nemohol som prestať hovoriť a ohovárať!,Nemohla som prestať hovoriť a ohovárať!
"I felt a sense of awe, but fear did not grip me.","Pocítil som úžas, ale strach ma nezmocnil.","Pocítila som úžas, ale strach ma nezmocnil."
I used to binge eat a lot after arguments.,Po hádkach som veľa prejedal.,Po hádkach som veľa jedla.
I insisted they wash their hands before eating.,"Trval som na tom, aby si pred jedlom umyli ruky.","Trvala som na tom, aby si pred jedlom umyli ruky."
I couldn't deal with all the data denying.,Nemohol som sa vysporiadať so všetkými popieraním údajov.,Nemohla som sa vysporiadať so všetkými popieraním údajov.
I never underestimated myself.,Nikdy som sa nepodceňoval.,Nikdy som sa nepodceňovala.
I was never late paying my bills.,Nikdy som nemeškal s platením účtov.,Nikdy som nemeškala s platením účtov.
I said that it is our responsibility to take care of our planet.,"Povedal som, že je našou zodpovednosťou starať sa o našu planétu.","Povedala som, že je našou zodpovednosťou starať sa o našu planétu."
"I would have said yes, but it didn't feel right.","Povedal by som áno, ale nezdalo sa mi to správne.","Povedala by som áno, ale nezdalo sa mi to správne."
I am commited to my company.,Som oddaný svojej spoločnosti.,Som oddaná svojej spoločnosti.
I wish there would be more people at this party.,"Prial by som si, aby na tejto párty bolo viac ľudí.","Priala by som si, aby na tejto párty bolo viac ľudí."
I had to ask for help with the suitacases because they were just too heavy.,"Musel som požiadať o pomoc s kuframi, pretože boli príliš ťažké.","Musela som požiadať o pomoc s kuframi, pretože boli príliš ťažké."
I completely understood their situation.,Úplne som chápal ich situáciu.,Úplne som pochopila ich situáciu.
I like to party every Saturday.,Rád žúrujem každú sobotu.,Rada žúrujem každú sobotu.
I beat that record so easily.,Prekonal som ten rekord tak ľahko.,Prekonala som ten rekord tak ľahko.
I am sure karma works.,"Som si istý, že karma funguje.","Som si istá, že karma funguje."
I like when nobody notices me.,"Mám rád, keď si ma nikto nevšíma.","Mám rada, keď si ma nikto nevšíma."
I will support my children finantially even when I am old.,"Svoje deti budem finančne podporovať, aj keď budem starý.","Svoje deti budem finančne podporovať, aj keď budem stará."
"When I said it was important for me to find out sexual compatibility, they looked at me strangely.","Keď som povedal, že je pre mňa dôležité zistiť sexuálnu kompatibilitu, divne sa na mňa pozreli.","Keď som povedala, že je pre mňa dôležité zistiť sexuálnu kompatibilitu, divne sa na mňa pozreli."
I came to the conclusion that young people are not as responsible as my generation.,"Prišiel som na to, že mladí ľudia nie sú tak zodpovední ako moja generácia.","Prišla som na to, že mladí ľudia nie sú tak zodpovední ako moja generácia."
I never understood why people trust fortune tellers.,"Nikdy som nechápal, prečo ľudia veria veštcom.","Nikdy som nechápala, prečo ľudia veria veštcom."
I chopped wood all weekend.,Celý víkend som rúbal drevo.,Celý víkend som rúbala drevo.
I went to pick up my weapon license yesterday.,Včera som si išiel vyzdvihnúť zbrojný preukaz.,Včera som si išla vyzdvihnúť zbrojný preukaz.
I could not stand it when they started talking about astrology.,"Nemohol som vydržať, keď začali hovoriť o astrológii.","Nemohla som vydržať, keď začali hovoriť o astrológii."
I studied the background before taking on the job.,Pred nástupom do práce som študoval pozadie.,Pred nástupom do práce som študovala pozadie.
I cooked dinner for the entire family yesterday.,Včera som varil večeru pre celú rodinu.,Včera som varila večeru pre celú rodinu.
I studied at Oxford.,Študoval som na Oxforde.,Študovala som na Oxforde.
I worked hard so we can afford nice things.,"Tvrdo som pracoval, aby sme si mohli dovoliť pekné veci.","Tvrdo som pracovala, aby sme si mohli dovoliť pekné veci."
I went on maternity leave.,Odišiel som na materskú dovolenku.,Nastúpila som na materskú dovolenku.
I brought some cookies for the new neighbors.,Priniesol som nejaké koláčiky pre nových susedov.,Priniesla som nejaké koláčiky pre nových susedov.
I carefully compared the terms and conditions of different insurance policies.,Starostlivo som porovnal podmienky rôznych poistiek.,Starostlivo som porovnávala podmienky rôznych poistiek.
I have never said no to him.,Nikdy som mu nepovedal nie.,Nikdy som mu nepovedala nie.
I could never pretent that I do not care.,"Nikdy som nemohol predstierať, že ma to nezaujíma.","Nikdy som nemohla predstierať, že ma to nezaujíma."
I wanted to eat nothing but raw beef.,Nechcel som jesť nič iné ako surové hovädzie mäso.,Nechcela som jesť nič iné ako surové hovädzie mäso.
I confidently posed for a photo.,Sebavedome som sa odfotil.,Sebavedome som sa odfotila.
I never had a problem thinking clearly and rationally.,Nikdy som nemal problém myslieť jasne a racionálne.,Nikdy som nemala problém myslieť jasne a racionálne.
I did not need notes for that important presentation.,Na túto dôležitú prezentáciu som nepotreboval poznámky.,Na túto dôležitú prezentáciu som nepotrebovala poznámky.
I provided material support for my family.,Poskytoval som materiálnu podporu svojej rodine.,Poskytovala som materiálnu podporu svojej rodine.
"When I lose my nerves, I could be a bit aggressive.","Keď stratím nervy, môžem byť trochu agresívny.","Keď stratím nervy, môžem byť trochu agresívna."
"My friends considered me a very sociable person and they were right, I could not bear loneliness.","Moji priatelia ma považovali za veľmi spoločenského človeka a mali pravdu, nezniesol som samotu.","Moji priatelia ma považovali za veľmi spoločenského človeka a mali pravdu, nezniesla som samotu."
I am always sure that I know what I am doing.,"Vždy som si istý, že viem, čo robím.","Vždy som si istá, že viem, čo robím."
I organized a fundraiser to support a charitable cause.,Zorganizoval som finančnú zbierku na podporu charitatívnej veci.,Zorganizovala som finančnú zbierku na podporu charitatívnej veci.
I solved the problem quickly and efficiently.,Problém som vyriešil rýchlo a efektívne.,Problém som vyriešila rýchlo a efektívne.
I heard they're opening a new clothing store.,"Počul som, že otvárajú nový obchod s oblečením.","Počula som, že otvárajú nový obchod s oblečením."
I alternated among several sexual partners during the same period.,Počas toho istého obdobia som vystriedal niekoľko sexuálnych partnerov.,Počas toho istého obdobia som vystriedala niekoľko sexuálnych partnerov.
I called someone to come fix the pool so that the kids could have some fun.,"Zavolal som niekoho, aby prišiel opraviť bazén, aby sa deti mohli zabaviť.","Zavolala som niekoho, aby prišiel opraviť bazén, aby sa deti mohli zabaviť."
"I never leave things to the last minute, I'm too responsible for that.","Nikdy nenechávam veci na poslednú chvíľu, som za to príliš zodpovedný.","Nikdy nenechávam veci na poslednú chvíľu, som za to príliš zodpovedná."
I hid all the candy so no one would eat it.,"Všetky cukríky som schoval, aby ich nikto nezjedol.","Všetky cukríky som schovala, aby ich nikto nezjedol."
I mentored junior team members.,Mentoroval som členov juniorského tímu.,Učila som členov juniorského tímu.
I know I am capable of great things.,"Viem, že som schopný veľkých vecí.","Viem, že som schopná veľkých vecí."
I needed help with those heavy bags but you never picked up the phone!,"Potreboval som pomoc s tými ťažkými taškami, ale ty si nikdy nedvíhal telefón!","Potrebovala som pomoc s tými ťažkými taškami, ale ty si nikdy nedvíhal telefón!"
I like numbers because they never lie.,"Mám rád čísla, pretože nikdy neklamú.","Mám rada čísla, pretože nikdy neklamú."
